Group_Index,Predicted_Max_Index,Actual_Max_Index,Match
1,9,9,1
2,1,1,1
3,5,5,1
4,6,6,1
5,4,4,1
6,6,6,1
7,3,10,0
8,9,9,1
9,1,1,1
10,4,4,1
11,6,6,1
12,6,6,1
13,5,5,1
14,7,7,1
15,4,4,1
16,3,3,1
17,1,1,1
18,2,2,1
19,10,10,1
20,5,5,1
21,2,2,1
22,7,7,1
23,10,10,1
24,5,5,1
25,10,10,1
26,8,8,1
27,7,7,1
28,3,3,1
29,6,6,1
30,7,7,1
31,6,6,1
32,8,8,1
33,7,7,1
34,3,3,1
35,7,7,1
36,5,5,1
37,4,4,1
38,2,2,1
39,6,6,1
40,2,2,1
41,8,8,1
42,2,2,1
43,8,8,1
44,6,6,1
45,10,10,1
46,7,7,1
47,4,4,1
48,3,3,1
49,5,5,1
50,4,4,1
51,9,9,1
52,4,4,1
53,10,10,1
54,9,9,1
55,2,2,1
56,10,10,1
57,9,9,1
58,10,10,1
59,5,5,1
60,2,2,1
61,1,1,1
62,8,8,1
63,2,2,1
64,8,8,1
65,10,10,1
66,8,8,1
67,10,10,1
68,7,7,1
69,1,1,1
70,1,1,1
71,7,7,1
72,9,9,1
73,3,3,1
74,10,10,1
75,1,1,1
76,9,9,1
77,10,10,1
78,6,6,1
79,10,10,1
80,1,1,1
81,6,6,1
82,8,8,1
83,4,4,1
84,8,8,1
85,2,2,1
86,1,1,1
87,9,9,1
88,8,8,1
89,1,1,1
90,1,1,1
91,9,9,1
92,8,8,1
93,9,9,1
94,7,7,1
95,4,4,1
96,9,9,1
97,8,8,1
98,4,4,1
99,6,6,1
100,9,9,1
101,9,9,1
102,2,2,1
103,4,4,1
104,3,3,1
105,2,2,1
106,6,6,1
107,5,5,1
108,8,8,1
109,9,9,1
110,6,6,1
111,3,3,1
112,9,9,1
113,4,4,1
114,10,10,1
115,7,7,1
116,6,6,1
117,1,1,1
118,10,10,1
119,10,10,1
120,2,2,1
121,2,2,1
122,6,6,1
123,5,5,1
124,4,4,1
125,2,2,1
126,8,8,1
127,9,7,0
128,7,7,1
129,4,4,1
130,2,2,1
131,9,9,1
132,2,2,1
133,6,6,1
134,9,9,1
135,5,5,1
136,3,3,1
137,2,2,1
138,10,10,1
139,9,9,1
140,3,3,1
141,4,4,1
142,6,6,1
143,3,3,1
144,10,10,1
145,4,4,1
146,7,7,1
147,2,2,1
148,6,6,1
149,3,3,1
150,2,2,1
151,2,2,1
152,7,7,1
153,2,2,1
154,4,4,1
155,7,7,1
156,1,1,1
157,6,6,1
158,3,3,1
159,2,2,1
160,10,10,1
161,6,6,1
162,6,6,1
163,4,4,1
164,7,7,1
165,4,4,1
166,9,9,1
167,6,6,1
168,9,5,0
169,7,7,1
170,4,4,1
171,10,10,1
172,1,1,1
173,7,7,1
174,6,6,1
175,4,4,1
176,6,6,1
177,6,6,1
178,8,8,1
179,10,10,1
180,1,1,1
181,10,10,1
182,6,6,1
183,9,9,1
184,5,5,1
185,5,5,1
186,6,6,1
187,8,8,1
188,3,3,1
189,4,4,1
190,4,4,1
191,8,8,1
192,7,7,1
193,3,3,1
194,5,5,1
195,1,1,1
196,6,6,1
197,7,7,1
198,2,2,1
199,8,8,1
200,9,9,1
201,9,9,1
202,6,6,1
203,1,1,1
204,8,8,1
205,4,4,1
206,8,8,1
207,6,6,1
208,6,6,1
209,6,6,1
210,10,10,1
211,2,2,1
212,6,6,1
213,9,9,1
214,6,6,1
215,6,6,1
216,3,3,1
217,1,1,1
218,8,8,1
219,10,10,1
220,7,7,1
221,8,8,1
222,1,1,1
223,1,1,1
224,10,10,1
225,8,8,1
226,9,9,1
227,9,9,1
228,5,5,1
229,4,4,1
230,9,9,1
231,2,2,1
232,2,2,1
233,8,8,1
234,5,5,1
235,9,9,1
236,10,10,1
237,5,5,1
238,8,8,1
239,7,7,1
240,5,5,1
241,3,3,1
242,10,10,1
243,5,5,1
244,4,4,1
245,4,4,1
246,5,5,1
247,8,8,1
248,9,9,1
249,2,2,1
250,1,1,1
251,8,8,1
252,2,2,1
253,5,5,1
254,8,8,1
255,6,6,1
256,6,6,1
257,7,7,1
258,10,10,1
259,9,9,1
260,7,7,1
261,10,10,1
262,6,6,1
263,9,9,1
264,9,9,1
265,7,7,1
266,2,2,1
267,8,8,1
268,10,10,1
269,8,8,1
270,7,7,1
271,7,7,1
272,7,7,1
273,6,6,1
274,3,3,1
275,8,8,1
276,1,1,1
277,7,7,1
278,7,7,1
279,3,3,1
280,8,8,1
281,2,2,1
282,6,1,0
283,6,6,1
284,5,5,1
285,10,10,1
286,9,9,1
287,7,7,1
288,9,9,1
289,7,7,1
290,7,7,1
291,7,7,1
292,4,4,1
293,1,1,1
294,3,3,1
295,1,1,1
296,8,8,1
297,9,9,1
298,4,4,1
299,9,9,1
300,6,6,1
301,4,4,1
302,6,6,1
303,10,10,1
304,4,4,1
305,7,7,1
306,9,9,1
307,4,4,1
308,2,2,1
309,7,7,1
310,9,9,1
311,9,9,1
312,5,5,1
313,8,8,1
314,6,6,1
315,6,6,1
316,10,10,1
317,9,9,1
318,3,3,1
319,7,7,1
320,3,3,1
321,8,8,1
322,9,9,1
323,1,1,1
324,3,3,1
325,1,1,1
326,5,5,1
327,5,5,1
328,6,6,1
329,8,8,1
330,1,1,1
331,7,7,1
332,8,8,1
333,9,9,1
334,5,5,1
335,5,5,1
336,7,7,1
337,9,9,1
338,6,6,1
339,3,3,1
340,8,8,1
341,10,10,1
342,3,3,1
