x__,X__,Y__,x___1,x____,x_____1,x_____,amplitude_1,phase_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1800,4761.801808,323.8431748,0.207302655,2.294104998,-0.137207104642902+0.155398201804223i,5.95E-05,1.844905043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1300,2218.036869,53.32111734,0.205671471,0.03424639,0.205550875571146+0.00704212862190976i,4.41E-05,0.862910403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1200,3768.343823,99.42772559,0.22127306,6.064705482,0.216012972408594-0.0479600147283612i,2.14E-05,-0.623241802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1600,3322.433607,203.8548665,0.242828438,3.986579357,-0.161175245850524-0.181626513944581i,7.46E-05,-2.258600458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,4881.692078,12.49888937,0.137605739,0.188320084,0.135172885335475+0.025761025091957i,3.29E-05,0.142964607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1500,884.6538944,89.85001106,0.287237074,4.570287803,-0.0406794981005796-0.28434189816611i,4.35E-05,-0.621427369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1200,542.9344921,332.5811093,0.102248943,4.82421569,0.0114103465859633-0.101610286383568i,5.91E-06,-2.968399376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1900,222.2729766,275.9605104,1,5.752200518,0.862308808287923-0.506382779277754i,0.000512364,-0.728293281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1100,2262.887863,167.1410973,0.255909597,0.752728544,0.186769545473569+0.17494815981873i,4.01E-05,0.318325136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2000,2500.322249,300.2749745,0.209878664,4.244538347,-0.0946487576025148-0.1873250289988i,9.72E-05,0.061655943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
